제목,일자,본문,URL,언론사,통합 분류1
“사법리스크에 전공의도 외면” 응급실 등지는 의사들,20231231,"사진=박효상 기자



 
 
전문의들은 응급의료가 무너져가고 있다고 입을 모은다. 응급의료 현장의 특수성을 고려하지 않은 법적 판결로 환자 보기가 두려워진 의사들은 응급실을 떠나고, 전공의 지원자도 감소세다. 의사가 없어 응급실 문을 닫는 병원들이 하나둘 늘고 의료 공백은 커져만 간다는 지적이다. 
 
30일 대한응급의학의사회에 따르면 매년 100%에..",http://www.kukinews.co.kr/newsView/kuk202312270240,쿠키뉴스,사회>의료_건강
미국 정치사에 남을 2023년 [쿠키칼럼],20231231,"어둠 속에 잠긴 미 의회 건물로 연방공무원들이 들어가고 있다. 위키피디아 자료



 
 
미 연방의회는 15일에 일찌감치 118회기 전반기 일정을 마치고 방학에 들어갔다. 미 연방의회는 하원의원 임기인 2년이 한 회기다. 118회기는 올해 1월에 시작돼 내년까지다. 딱 절반인 1년이 지났다. 118회기 전반기, 즉 2023년의 미 의회는 여러모로 미국..",http://www.kukinews.co.kr/newsView/kuk202312280223,쿠키뉴스,국제>미국_북미
김태년 “총선 끝나면 한동훈 바람 사그라들 것” [쿡 인터뷰②],20231231,"29일 서울 여의도 국회 의원회관에서 쿠키뉴스와 인터뷰 중인 김태년 더불어민주당 의원. 사진=박효상 기자



 
더불어민주당 4선 중진 김태년 의원이 “총선이 끝나면 한동훈 바람이 사그라들 것”이라고 평가했다. 한 비대위원장의 총선 불출마 선언이 마치 ‘혁신’처럼 받아들여지고 있지만, 포장된 것에 불과하다며 “혁신은 겸손하게 국민을 섬기는 것부터 시작..",http://www.kukinews.co.kr/newsView/kuk202312290216,쿠키뉴스,정치>국회_정당
"정재영 “머리에 쥐 나던 ‘노량’, 그래서 특별했죠” [쿠키인터뷰]",20231231,"배우 정재영. 롯데엔터테인먼트 



 
3년 전 겨울, 배우 정재영은 때 아닌 중국어 공부에 열을 올렸다. 발음을 녹음해 듣고 말해보기를 몇 달. 그 시간 동안 본 중국 사극만 100편이 넘는다. 제 대사뿐 아니라 상대방 대사까지도 모두 듣고 외웠다. “태어나서 이렇게까지 공부한 건 처음”이었단다. 중국어에 파묻혀 살기만을 6개월, 이처럼 피나는 노력..",http://www.kukinews.co.kr/newsView/kuk202312290182,쿠키뉴스,문화>방송_연예
2023 계묘년 “퇴근합니다!”,20231231,"말도 많고 탈도 많았던 2023년도 마지막 시간을 향해 달려가고 있다. 올 한해 어려운 가운데에서도 인내하며 버텨오느라 수고가 많았다는 생각에 누구의 어깨라도 토닥토닥해 주고 싶은 계묘년 마지막 날이다.



 
- 전쟁과 기후재난, 극한대립과 반목으로 얼룩진 2023년 저물어 
- 우리 기술 우주발사체 ‘누리호’ 성공 '7대 우주 강국 도약'도 
-..",http://www.kukinews.co.kr/newsView/kuk202312290114,쿠키뉴스,사회>사회일반
제야의 종 타종행사 앞두고 몰려드는 시민들 [쿠키포토],20231231,"2023년 마지막 날인 31일 오후 서울 종로구 보신각에서 열리는 제야의 종 타종행사를 시민들이 기다리고 있다. 
 


 

 2023년 마지막 날인 31일 오후 서울 종로구 보신각에서 열리는 제야의 종 타종행사를 시민들이 기다리고 있다.



 

 2023년 마지막 날인 31일 오후 서울 종로구 보신각에서 열리는 제야의 종 타종행사를 시민들이 기다..",http://www.kukinews.co.kr/newsView/kuk202312310056,쿠키뉴스,문화>전시_공연
"거제시, 바우처택시 확대 운행 [거제소식]",20231231,"경남 거제시(시장 박종우)는 추가로 50대를 증차해 기존 50대에서 총 100대의 바우처택시를 운행한다. 
 
바우처택시란 교통약자의 이동편의 개선을 위하여 평상시 일반인을 대상으로 영업하는 택시가 비휠체어 교통약자의 배차요청이 있을 경우 바우처택시로 전환하여 운행하는 콜택시 서비스다. 
 


 

 
기존 50대로 운행하고 있으나 이용자들의 콜 대기..",http://www.kukinews.co.kr/newsView/kuk202312310055,쿠키뉴스,지역>경기
강원 내륙 15cm 눈에도 해맞이 명소에 발길 이어져,20231231,"지난 30일 폭설이 내린 강원도 춘천시 모습. 연합뉴스



 
강원 내륙과 산지를 중심으로 최고 15cm의 눈이 내린 가운데 31일 오후 해넘이와 해맞이 명소인 동해안에는 점차 발길이 늘어나는 모습이다. 
 
비가 내리는 궂은 날씨에 탓에 인파가 붐비지는 않고 있지만, 그럼에도 바다가 잘 보이는 해안도로나 주차장 등 해맞이 명소에는 가족과 친구 단위 ..",http://www.kukinews.co.kr/newsView/kuk202312310051,쿠키뉴스,문화>요리_여행
미군 “선박 공격한 예멘반군 고속단정 격침”,20231231,"머스크항저우호 소셜미디어 엑스 계정 캡처.



 
미군은 31일(현지시간) 홍해에서 민간 선박을 공격한 예멘 후티 반군의 고속단정을 격침했다고 밝혔다. 
 
이스라엘과 하마스간 전쟁에 후티 반군이 본격 개입하기 시작한 이후 미군과 예멘 반군 선박이 직접 교전한 것은 이번이 처음이다. 
 
미 중부사령부는 이날 소셜미디어 엑스(X⋅舊트위터)를 통해 이날..",http://www.kukinews.co.kr/newsView/kuk202312310052,쿠키뉴스,국제>중동_아프리카
"尹대통령, ‘따뜻한 정부’ 키워드로 신년사 발표",20231231,"윤석열 대통령은 하루 앞으로 다가온 새해 첫날인 1월 1일 따뜻한 정부와 문제 해결 정부라는 키워드로 신년사를 발표할 예정이다. 연합뉴스



 
윤석열 대통령은 새해 첫날이자 집권 3년차를 맞이한 2024년 1월 1일 대국민 신년사를 발표한다. 
 
1월 1일 오전 10시부터 용산 대통령실에서 발표하는 신년사는 방송을 통해 생중계된다. 분량은 약 20..",http://www.kukinews.co.kr/newsView/kuk202312310048,쿠키뉴스,정치>청와대
"가수 이승환, ‘특검 거부’ 윤석열 대통령 비판글 게시",20231231,"가수 이승환이 소셜미디어에 “세상 사는 얘기도 잠깐”이라는 멘트와 함께 ‘공정과 상식’을 해시태그로 윤석열 대통령을 직격했다. 이승환 소셜미디어 캡처



 
가수 이승환이 이른바 ‘김건희 특검법’에 대한 거부권 행사 카드를 만지작거리고 있는 윤석열 대통령에게 직격탄을 날렸다. 
 
이승환은 소셜미디어에 팬미팅과 공연 사진 등을 게시하던 와중에 지난 3..",http://www.kukinews.co.kr/newsView/kuk202312310047,쿠키뉴스,정치>청와대
2023년 마지막 태양[쿠키포토],20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310045,쿠키뉴스,국제>아시아
'춘천 의암호 마지막 일몰'[쿠키포토],20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310046,쿠키뉴스,국제>아시아
저물어가는 계묘년[쿠키포토],20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310044,쿠키뉴스,국제>아시아
"'계묘년, 마지막 해넘이'[쿠키포토]",20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310043,쿠키뉴스,국제>아시아
"[속보] 고양시 60대女 사망 경찰, “살인 사건 가능성”",20231231,"경기 고양시 한 지하 주점에서 60대 여성이 숨진 채 발견돼 경찰이 수사 중이다. 
 
31일 일산서부경찰서에 따르면 이날 오후 3시께 “어머니가 연락이 안 돼 운영하시는 가게에 갔는데 문이 잠겨있다”는 신고가 접수됐다. 
 
경찰과 소방 당국은 문을 강제 개방해 가게 내부에서 숨진 60대 여성 A씨를 발견했다. A씨 시신 상태 등을 조사한 경찰은 살인..",http://www.kukinews.co.kr/newsView/kuk202312310041,쿠키뉴스,사회>사건_사고
[날씨] 새해 첫날 구름 사이로 ‘해돋이’ 본다,20231231,"갑진년 ‘청룡의 해’를 맞아 제주 해돋이 명소인 성산일출봉에서 제31회 성산일출축제가 개막했다. 관광객과 도민들이 성산일출봉에 오르고 있는 모습. 연합뉴스 



 
2023년 해넘이를 보기는 어려웠으나, 2024년 첫날인 1월 1일 해돋이는 볼 수 있겠다. 
 
31일 기상청에 따르면, 1월 1일 전국 대부분 지역에서 구름 사이로 해돋이를 볼 수 있을..",http://www.kukinews.co.kr/newsView/kuk202312310039,쿠키뉴스,사회>날씨
"저물어가는 계묘년 '2023년, 잘가'[쿠키포토]",20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310042,쿠키뉴스,국제>아시아
"'2023년, 잘가'[쿠키포토]",20231231,"2023년 계묘년(癸卯年) 마지막날인 31일 오후 강원 춘천시 의암호에서 바라본 서쪽 하늘에 마지막 해가 붉게 지고 있다. 
 
춘천=한윤식 기자 nssysh@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310040,쿠키뉴스,국제>아시아
"사령탑 교체한 현대캐피탈, 우리카드 잡고 3연승",20231231,"현대캐피탈이 3연승을 질주하면서 2023년을 마무리했다. 한국배구연맹



 
감독을 바꾼 남자배구 현대캐피탈이 올 시즌 첫 3연승으로 2023년을 마무리했다. 
 
현대캐피탈은 31일 천안 유관순체육관에서 열린 도드람 2023-2024 V리그 남자부 우리카드와 홈경기에서 세트 점수 3-1(21-25, 25-23, 25-18, 25-22)로 역전승했다...",http://www.kukinews.co.kr/newsView/kuk202312310035,쿠키뉴스,스포츠>농구_배구
"1위 현대건설, 2위 흥국생명 완파 독주 체제 시동",20231231,"기뻐하는 현대건설 선수단과 고개 숙인 흥국생명 선수단. 한국배구연맹



 
프로배구 여자부 1위 현대건설이 11일 만에 만난 2위 흥국생명과 선두 싸움에서 다시 승리하며 독주 체제 시동을 걸었다. 
 
현대건설은 31일 인천삼산월드체육관에서 열린 도드람 2023-2024 V리그 여자부 방문 경기에서 흥국생명을 세트 스코어 3-0(25-20, 25-20..",http://www.kukinews.co.kr/newsView/kuk202312310038,쿠키뉴스,스포츠>농구_배구
"한덕수 국무총리, 보신각 찾아 안전 점검",20231231,"한덕수 국무총리. 연합뉴스



 
한덕수 국무총리는 31일 오후 종로구 보신각과 인근을 방문해 ‘제야의 종’ 타종 행사와 관련한 안전 관리 준비 상황을 점검했다고 총리실이 전했다. 
 
한 총리는 서울시로부터 타종 행사 안전관리 대책을 보고 받고 “예전에 타종 행사에서 어린이가 인파에 밀려 넘어져 사망한 일도 있었던 만큼 인파 사고에 철저히 대비해달라..",http://www.kukinews.co.kr/newsView/kuk202312310037,쿠키뉴스,국제>일본
"‘내로남불’ 민주당과 다르다 與, 민경우 사퇴 자평",20231231,"노인 비하 발언으로 논란이 일자 발 빠르게 사퇴한 민경우 전 비상대책위원. 연합뉴스



 
국민의힘은 31일 ‘노인 비하’ 발언으로 논란을 빚은 민경우 시민단체 길 상임대표가 비상대책위원직에서 자진 사퇴한 데 대해 “반성하고 책임질 줄 아는 국민의힘은 ‘내로남불’ 더불어민주당과는 다르다”고 자평했다. 
 
정광재 대변인은 이날 논평을 내고 “민 전 비..",http://www.kukinews.co.kr/newsView/kuk202312310036,쿠키뉴스,정치>청와대
‘김연경 효과’ 여자배구에 6170명 관중 몰렸다,20231231,"여자배구 2023년 마지막 날 경기에서 역대 최대 관중 2위 기록이 탄생했다. 흥국생명-현대건설 경기를 보기 위해 6170명이 몰린 경기장 전경. 연합뉴스



 
2023년 마지막 날 열린 프로배구 경기에서 뜻 깊은 기록이 탄생했다. 
 
31일 인천삼산월드체육관에서 열린 2023-2024 프로배구 여자부 흥국생명-현대건설 경기에 총 6170명의 관중..",http://www.kukinews.co.kr/newsView/kuk202312310034,쿠키뉴스,스포츠>농구_배구
"‘푸바오 할아버지’ 강철원 사육사, 논란에 직접 댓글 해명",20231231,"강철원(왼쪽)⋅송영관 사육사가 에버랜드 명물 판다 푸바오와 포즈를 취하고 있다. 연합뉴스



 
내년 봄 중국으로 돌아가는 에버랜드 마스코트 ‘푸바오’ 담당 사육사에 비난이 잇따르면서 에버랜드 측이 이에 대한 삭제 조치에 나섰다. 
 
에버랜드가 운영하는 유튜브 채널 ‘말하는 동물원 뿌빠TV’는 지난 30일 공지글을 통해 “사육사 개인을 향한 지나친 ..",http://www.kukinews.co.kr/newsView/kuk202312310032,쿠키뉴스,사회>사회일반
"프로농구 DB, 5연승 정관장은 7연패",20231231,"DB 강상재. 연합뉴스



 
프로농구 원주 DB가 올해 마지막 경기를 5연승으로 장식했다. 
 
DB는 31일 경기 안양체육관에서 열린 2023-2024 정관장 프로농구 정규리그 원정 경기에서 안양 정관장을 93-86으로 제압했다. 5연승을 달린 DB는 23승 5패를 기록해 2위 서울 SK와 승차를 4.5경기로 벌리며 독주 체제를 이어갔다. 
 
반..",http://www.kukinews.co.kr/newsView/kuk202312310033,쿠키뉴스,스포츠>농구_배구
"이상민 행안부 장관, “청룡의 해 맞이 만전”",20231231,"이상민 행정안전부 장관. 연합뉴스



 
 


 
이상민 행정안전부 장관은 “2024년 청룡의 해를 맞이하려는 사람들로 해넘이 해맞이 명소와 축제 현장들이 붐빌 것으로 예상된다”면서 “국민께서 희망찬 새해를 맞이할 수 있도록 지자체 경찰 소방 등 관계기관과 협력해 안전관리에 만전을 기하겠다”고 밝혔다. 
 
행정안전부는 31일 각종 행사로 인파가 밀..",http://www.kukinews.co.kr/newsView/kuk202312310031,쿠키뉴스,사회>사회일반
"이스라엘 소행 추정 공습 당한 시리아, 23명 사망",20231231,"이란 국영 언론은 이슬람혁명수비대(IRGC) 성명을 인용해 이스라엘의 시리아 공습으로 다수의 사망자가 발생했다고 전했다. EPA연합뉴스



 
이스라엘군 소행으로 추정되는 공습이 시리아 동부에서 발생하면서 23명이 사망했다고 AFP 통신이 보도했다. 
 
시리아 내전 감시단체 시리아인권관측소는 31일 이라크 국경 인근에서 최소 9차례 공습으로 시리아인..",http://www.kukinews.co.kr/newsView/kuk202312310028,쿠키뉴스,국제>중동_아프리카
"한동훈, “국민 비판 경청하며 바꿔 나가겠다”",20231231,"한동훈 국민의힘 비상대책위원장이 31일 신년사를 발표했다. 연합뉴스



 
한동훈 국민의힘 비상대책위원장은 31일 “미래는 온전히 우리에게 달려있다”면서 “국민의힘은 결연한 의지를 가지고 미래를 위해 할 일을 하겠다”고 말했다. 
 
한 위원장은 이날 신년사에서 “여러분 모두에게 지난해보다 나은 올해가 되도록, 나와 우리 국민의힘이 한발 앞서 부지런히..",http://www.kukinews.co.kr/newsView/kuk202312310026,쿠키뉴스,정치>국회_정당
與 “김정은 ‘도발적 망언’ 멈추고 평화 구축 해야”,20231231,"북한은 지난 26일부터 개최되었던 연말 전원회의가 30일 결속됐다고 조선중앙통신이 31일 보도했다. 연합뉴스



 
국민의힘이 김정은 정권을 향해 적대적 행태를 멈추고 한반도 평화 구축을 위한 길로 복귀할 것을 촉구했다. 
 
정광재 국민의힘 대변인은 31일 논평을 통해 “대한민국 정부는 국민의 생명과 재산을 지키고 한반도 평화 수호를 가장 큰 책무로..",http://www.kukinews.co.kr/newsView/kuk202312310025,쿠키뉴스,정치>북한
"野, ‘통일 성사 불가’ 김정은에 “위험한 발상 강력 규탄”",20231231,"강선우 더불어민주당 의원. 사진=박효상 기자



 
더불어민주당이 남북관계를 ‘적대적 관계’로 규정하며 대한민국과의 통일은 성사될 수 없다는 김정은 북한 국무위원장의 발언을 강력히 규탄했다. 
 
강선우 대변인은 이날 국회 브리핑에서 “김 위원장의 위험한 발상을 강력히 규탄한다”며 “김 위원장의 이 같은 발언은 평화를 지향하고 통일의 당사자인 남북 관..",http://www.kukinews.co.kr/newsView/kuk202312310023,쿠키뉴스,정치>북한
"PBA 김영수 총재, “베트남 해외투어, 팬 소통 힘쓸 것”",20231231,"김영수 PBA 총재. PBA



 
 


 
프로당구 PBA 김영수 총재가 2024년을 앞두고 신년사를 전했다. 
 
2019년 출범한 PBA는 올해로 6주년을 맞았다. 코로나19 상황에서도 PBA-LPBA(1부), 드림(2부), 챌린지(3부), PBA 팀리그를 체계적으로 완성했다. PBA투어는 공정하고 체계적인 승강 구조를 만들었고, 2020년 출..",http://www.kukinews.co.kr/newsView/kuk202312310024,쿠키뉴스,스포츠>스포츠일반
“갑진년 온다” ‘제야의 종 행사’ 보신각 광화문엔 10만 인파,20231231,"자정의 태양 연출안. 서울시 제공



 
 


2023년 마지막 날인 31일 서울 종로구 보신각과 세종대로 일대에서 대규모 제야의 종 새해맞이 카운트다운 행사가 열린다. 
 
보신각에서 열리는 제야의 종 타종 행사는 1953년부터 70년째 이어져 온 대표적 새해맞이 행사다. 
 
타종 1시간 전인 오후 11시 보신각에서 세종대로로 이어지는 약 400..",http://www.kukinews.co.kr/newsView/kuk202312310020,쿠키뉴스,사회>사회일반
北 김정은 “남북은 적대적 교전국 언제 가도 통일 안 돼”,20231231,"북한 김정은 국무위원장. 연합뉴스



 
북한이 노동당 중앙위원회 연말 전원회의를 통해 남북관계를 적대적 두 국가 간의 관계로 규정하고 남한과의 통일은 없다고 선을 그었다. 
 
31일 북한 조선중앙통신에 따르면 김정은 국무위원장은 전날 조선노동당 전원회의 5일차 회의에서 남북관계를 ‘동족관계’가 아닌 ‘적대적 두 국가관계’로 규정하고 대한민국과의 통..",http://www.kukinews.co.kr/newsView/kuk202312310021,쿠키뉴스,정치>북한
상주 단독주택서 화재 80대 여성 숨져,20231231,"경북 상주 주택 화재. (경북소방본부 제공) 2023.12.31



 
31일 오전 10시 58분께 경북 상주시 화동면 한 단독주택에서 불이 났다. 
 
이 불로 이 주택에 사는 80대 여성이 숨졌다. 
 
불은 가재도구 등 주택 내부를 태운 뒤 약 50여분 만에 꺼졌다. 
 
경찰과 소방당국은 정확한 화재 원인을 조사 중이다. 
 
최재용 기자 gd..",http://www.kukinews.co.kr/newsView/kuk202312310022,쿠키뉴스,사회>여성
"합천춘란, 전국 동시다발적 생산 2억5천만원 종묘 판매",20231231,"경남 합천에서 키워진 한국춘란이 전국으로 판매되기 시작했다. 
 
합천군에 따르면 지난 26일 부산소재의 농업회사법인 (주)신아에서 합천춘란 종묘를 구입해 간데 이어, 29일에는 전남 화순군에서 종묘구입을 위해 합천을 방문했다. 
 


 

 
판매금액은 ㈜신아에서 1억5천만원, 화순군에서 1억원을 구입해 총 2억5천만원에 달하며 약 1만여촉 규모이다..",http://www.kukinews.co.kr/newsView/kuk202312310018,쿠키뉴스,지역>경남
"합천군, 두무산 양수발전소 유치 확정 등 2023년 군정 주요 성과 발표",20231231,"경남 합천군(군수 김윤철)은 2023년 한 해의 군정 주요 성과를 발표했다. 
 
합천군은 민선8기 2년 차인 2023년은 희망찬 미래의 합천을 만들기 위한 기반을 마련하는데 중점을 두고 주민들과 소통하면서 적극 행정을 펼친 결과 군정의 다양한 분야에서 성과를 달성했다. 
 


 

 
먼저, 1조 8천억원에 이르는 대규모 국책사업인 양수발전소 신규 ..",http://www.kukinews.co.kr/newsView/kuk202312310019,쿠키뉴스,지역>충남
"주낙영 경주시장 ""서민생활 안정, 민생 경제 살리기에 혼신의 힘을 다할 것"" [신년사]",20231231,"주낙영 시장. (경주시 제공) 2023.12.31



 
주낙영 경북 경주시장은 2024년 신년사를 통해 ""서민생활 안정, 민생 경제 살리기에 혼심의 힘을 다하겠다""고 밝혔다. 
 
그는 '2025 APEC 정상회의 경주 유치' 등을 통해 미래 발전 초석을 다진다는 구상이다. 
 
다음은 신년사 요약본 
 
존경하고 사랑하는 경주시민 여러분! 다사다난..",http://www.kukinews.co.kr/newsView/kuk202312310015,쿠키뉴스,지역>대전
"백인규 포항시의회 의장 ""책임있는 봉사자 소임 다할 것"" [신년사]",20231231,"백인규 의장. (시의회 제공) 2023.12.31



 
백인규 경북 포항시의회 의장은 2024년 신년사를 통해 ""시민 행복과 지역발전을 위해 책임있는 봉사자 소임을 다하겠다""고 밝혔다. 
 
그는 시민 목소리에 귀 기울이는 적극적인 현장 의정활동, 전문적인 정책연구를 통해 현안 해결에 앞장서고 미래 비전을 제시한다는 구상이다. 
 
다음은 신년사 전..",http://www.kukinews.co.kr/newsView/kuk202312310016,쿠키뉴스,지역>경기
"납품대금 연동제, 계도기간 종료 1월 1일 본격 시행",20231231,"중소벤처기업부 로고



 
원청업체와 하청업체 간 거래에서 원자재 가격 상승분이 납품대금에 반영되도록 하는 납품대금 연동제가 새해 본격 시행된다. 
 
중소벤처기업부는 31일 “오늘까지 계도 기간을 마치고 내년 1월 1일부터 납품대금 연동제를 본격적으로 시행한다”고 밝혔다. 
 
납품대금 연동제 시행에 따라 주요 원재료가 있으면서 수탁 위탁거래를 체결..",http://www.kukinews.co.kr/newsView/kuk202312310017,쿠키뉴스,경제>부동산
"김정재 의원 ""포항의 새로운 도전을 찬란한 성공으로 완성시킬 것"" [신년사]",20231231,"김정재 의원. (의원실 제공) 2023.12.31



 
김정재 국민의힘(경북 포항북) 국회의원은 2024년 신년사를 통해 ""지난 8년의 의정활동 경험을 토대로 더 큰 일꾼이 돼 포항 발전의 밀알이 되겠다""고 밝혔다. 
 
그는 시민들과 함께 새로운 포항의 내일을 열어가는 데 모든 경험과 역량을 쏟아내겠다는 각오다. 
 
다음은 신년사 전문 
 
존경..",http://www.kukinews.co.kr/newsView/kuk202312310014,쿠키뉴스,지역>경북
"김광열 영덕군수 ""미래 역점시책 역량 집중할 것"" [신년사]",20231231,"김광열 군수. (영덕군 제공) 2023.12.31



 
김광열 경북 영덕군수는 2024년 신년사를 통해 ""'지역경제 활성화'를 최우선 과제로 삼고 '군민과 함께하는 새로운 영덕' 건설에 힘쓰겠다""고 밝혔다. 
 
그는 아름다운 자연 문화, 군민 저력을 결집해 새로운 미래를 연다는 구상이다. 
 
다음은 신년사 전문  
 
존경하는 군민 여러분! 그리..",http://www.kukinews.co.kr/newsView/kuk202312310012,쿠키뉴스,지역>충남
"의학공학대학원 설립 박차, 이광형 KAIST 총장 신년사",20231231,"2024년 신년사를 밝히는 이광형 KAIST 총장. KAIST



 
이광형 KAIST 총장은 2024년 신년사에서 “ 불확실성 증가와 R&D 예산 구조조정 등 많은 어려움이 예상되지만, 새로운 도전과 혁신을 이어 갈 것”이라며 “세계 10위권 대학의 꿈을 보다 선명하게 만들겠다”고 밝혔다. 
 
이를 위해 이 총장은 우선 혁신적인 캠퍼스 문화 확산이..",http://www.kukinews.co.kr/newsView/kuk202312310013,쿠키뉴스,경제>경제일반
"이강덕 포항시장 ""누구나 살고 싶은 품격 높은 도시 만들겠다"" [신년사]",20231231,"이강덕 시장. (포항시 제공) 2023.12.31



 
이강덕 경북 포항시장은 2024년 신년사를 통해 ""지속 가능한 미래를 준비하고 누구나 살고 싶은 품격 높은 도시를 만들겠다""고 밝혔다. 
 
그는 신성장산업 고도화, 민생 활력도시 조성 등을 약속했다. 
 
다음은 신년사 전문 
 
2024년 갑진년(甲辰年) 청룡의 해가 밝았습니다. 푸른 용의 ..",http://www.kukinews.co.kr/newsView/kuk202312310009,쿠키뉴스,지역>경북
[부음] 서철모 대전 서구청장 장모상,20231231,"▲이행자씨 별세, 서철모(대전 서구청장)씨 장모상 = 30일 오전 7시 30분. 빈소 : 경북 포항시 남구 대잠동 포항국화원 장례식장. 발인 : 1월1일 오전 7시. 장지 : 포항시 자명리 선영. 054-272-4444 
 
대전=이익훈 기자 emadang@kukinews.com",http://www.kukinews.co.kr/newsView/kuk202312310010,쿠키뉴스,지역>경북
방통위 “지상파 재허가 의결 연기 물리적 검토시간 부족”,20231231,"이상인 방송통신위원회 부위원장. 사진=임형택 기자



 
 


KBS 2TV와 MBC SBS UHD, 지역 민방 등 지상파 방송사들에 대한 재허가 허가유효기간이 올해 말 만료될 예정인 가운데 방송통신위원회가 재허가 의결을 연기했다. 
 
방송통신위원회는 31일 오전 전체회의를 열어 34개 지상파 방송사 141개 방송국에 대한 재허가를 의결할 예정이었..",http://www.kukinews.co.kr/newsView/kuk202312310011,쿠키뉴스,사회>미디어
오세훈 “‘매력특별시’ 본격 실현 시민 행복 최우선”,20231231,"오세훈 서울시장. 사진=임형택 기자



 
오세훈 서울시장이 2024년 새해를 맞아 서울 시민 행복을 최우선으로 도시 전체를 획기적으로 혁신해 미래 먹거리와 일자리를 창출하고 서울의 도시 정체성을 전 세계로 널리 확산하겠다고 밝혔다. 
 
오 시장은 31일 신년사을 통해 “매력특별시 서울을 본격적으로 실현해 시민의 행복을 높이고 희망찬 미래를 창조하겠..",http://www.kukinews.co.kr/newsView/kuk202312310008,쿠키뉴스,정치>행정_자치
"국립고궁박물관, 새해 왕실 유물 스탬프여행 선보여",20231231,"문화재청 국립고궁박물이 새해부터 시행하는 스탬프여행 ‘국립고궁박물관 담다’. 문화재청



 
문화재청 국립고궁박물관은 새해 2일부터 스탬프여행 ‘국립고궁박물관 담다’를 새로 시행한다. 
 
이 프로그램은 우리나라 왕실유물에 대한 국민 관심을 높이기 위해 기존 박물관 도장 찍기 여행을 개편한 것으로, 박물관 대표 유물카드와 스탬프 10종을 새로 제작했다..",http://www.kukinews.co.kr/newsView/kuk202312310007,쿠키뉴스,문화>요리_여행
영덕서 3중 추돌사고 '발생' 6명 '중경상',20231231,"사고 현장 모습. (경북소방본부 제공) 2023.12.31



 
경북 영덕에서 3중 추돌사고가 발생했다. 
 
경북소방본부에 따르면 지난 30일 오후 8시 23분께 영덕군 남정면 부경리에서 3중 추돌사고가 발생했다는 신고가 접수됐다. 
 
현장 확인 결과 신호 대기중이던 QM6 티볼리 차량을 산타페 차량이 추돌한 것으로 파악됐다. 
 
이 사고로 6..",http://www.kukinews.co.kr/newsView/kuk202312310006,쿠키뉴스,지역>경북
"최상기 인제군수 ""주요 사업들이 성과를 맺는 한해였다""",20231231,"최상기 인제군수



""2023년은 민선 7기부터 이어져 온 주요 사업들이 성과를 맺는 중요한 한해였다"" 
 
강원 인제군 최상기 군수는 31일 2023년 계묘년 송년사를 통해 이같이 밝히며 ""기쁨과 불편을 함께 해주시고 변함없는 응원을 보내 주신 군민 여러분들께 진심으로 감사드린다""고 말했다. 
 
그러면서 ""인제군민이면 누구나 균등한 기회를 갖도록 ..",http://www.kukinews.co.kr/newsView/kuk202312310004,쿠키뉴스,지역>전북
"北, 내년 위성 3개 추가 발사 “통일 성사될 수 없어”",20231231,"북한 김정은 국무위원장. 연합뉴스



 
북한이 내년에 군사정찰위성 3개를 추가로 발사하겠다고 밝혔다. 
 
31일 조선중앙통신은 김정은 국무위원장이 지난 30일 열린 노동당 전원회의 5일차 회의에서 “2024년에 3개의 정찰위성을 추가로 쏴올릴데 대한 과업을 천명했다”고 보도했다. 
 
회의에서는 우주과학기술 발전을 힘있게 추동하기 위한 국가적 차원..",http://www.kukinews.co.kr/newsView/kuk202312310003,쿠키뉴스,정치>북한
